"income","workclass","occupation","capital-gain","capital-loss","hours-per-week"
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,13
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Other-service",0,0,16
">50K","Self-emp-not-inc","Exec-managerial",0,0,45
">50K","Private","Prof-specialty",14084,0,50
">50K","Private","Exec-managerial",5178,0,40
">50K","Private","Exec-managerial",0,0,80
">50K","State-gov","Prof-specialty",0,0,40
"<=50K","Private","Adm-clerical",0,0,30
"<=50K","Private","Sales",0,0,50
"<=50K","Private","Transport-moving",0,0,45
"<=50K","Self-emp-not-inc","Farming-fishing",0,0,35
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Sales",0,0,50
">50K","Self-emp-not-inc","Exec-managerial",0,0,45
">50K","Private","Prof-specialty",0,0,60
"<=50K","Private","Other-service",0,0,20
"<=50K","Federal-gov","Farming-fishing",0,0,40
"<=50K","Private","Transport-moving",0,2042,40
"<=50K","Private","Tech-support",0,0,40
">50K","Local-gov","Tech-support",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Exec-managerial",0,0,80
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Local-gov","Protective-serv",0,0,52
"<=50K","Private","Sales",0,0,44
"<=50K","Private","Exec-managerial",0,1408,40
"<=50K","Federal-gov","Adm-clerical",0,0,40
"<=50K","State-gov","Other-service",0,0,15
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Adm-clerical",0,0,25
"<=50K","Self-emp-not-inc","Prof-specialty",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,43
"<=50K","Self-emp-not-inc","Prof-specialty",0,0,40
"<=50K","Private","Tech-support",0,0,50
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,35
">50K","Federal-gov","Prof-specialty",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,38
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","State-gov","Craft-repair",0,0,40
"<=50K","Private","Prof-specialty",0,0,43
"<=50K","Private","Exec-managerial",0,0,40
">50K","Private","Prof-specialty",0,1902,60
">50K","Federal-gov","Exec-managerial",0,0,55
"<=50K","Self-emp-inc","Exec-managerial",0,0,60
">50K","Private","Tech-support",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Adm-clerical",0,0,48
"<=50K","Private","Machine-op-inspct",5013,0,40
"<=50K","Private","Sales",2407,0,40
"<=50K","Private","Transport-moving",0,0,40
">50K","Private","Prof-specialty",0,0,45
"<=50K","Private","Tech-support",0,0,58
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
">50K","Private","Adm-clerical",0,0,40
">50K","Self-emp-inc","Exec-managerial",0,0,50
"<=50K","Private","Prof-specialty",0,0,32
"<=50K","Private","Sales",0,0,40
">50K","Self-emp-not-inc","Sales",0,0,70
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Prof-specialty",0,0,20
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Other-service",0,0,22
"<=50K","Local-gov","Farming-fishing",0,0,40
"<=50K","Private","Sales",0,0,30
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Sales",0,0,48
">50K","Private","Craft-repair",14344,0,40
"<=50K","Private","Sales",0,0,35
">50K","Local-gov","Protective-serv",0,0,40
"<=50K","Private","Prof-specialty",0,0,50
"<=50K","Private","Sales",0,0,40
">50K","Federal-gov","Prof-specialty",0,0,50
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,25
">50K","Local-gov","Protective-serv",0,0,40
"<=50K","Local-gov","Handlers-cleaners",0,0,50
">50K","Self-emp-not-inc","Prof-specialty",0,1902,60
">50K","Private","Sales",0,0,48
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Federal-gov","Other-service",0,0,40
">50K","Private","Exec-managerial",0,0,40
">50K","Private","Exec-managerial",15024,0,60
"<=50K","Self-emp-not-inc","Prof-specialty",0,0,50
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Craft-repair",0,0,40
">50K","Self-emp-inc","Craft-repair",7688,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Sales",0,0,40
">50K","Private","Prof-specialty",0,0,40
">50K","Self-emp-not-inc","Other-service",0,1887,50
"<=50K","Private","Sales",4064,0,25
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,50
"<=50K","Self-emp-inc","Sales",0,0,50
">50K","Local-gov","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,56
"<=50K","Private","Craft-repair",0,0,41
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Exec-managerial",0,0,60
"<=50K","Private","Exec-managerial",0,0,40
">50K","State-gov","Prof-specialty",0,0,50
"<=50K","Private","Other-service",0,0,35
">50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Adm-clerical",0,1719,28
">50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,60
"<=50K","Private","Other-service",0,1762,40
"<=50K","Self-emp-not-inc","Craft-repair",4386,0,35
"<=50K","Private","Sales",0,0,50
"<=50K","Private","Tech-support",0,0,36
">50K","Federal-gov","Prof-specialty",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,60
"<=50K","Private","Adm-clerical",0,0,35
"<=50K","Private","Sales",0,0,20
">50K","Private","Craft-repair",0,0,40
"<=50K","Self-emp-inc","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,40
"<=50K","Private","Other-service",0,0,30
">50K","Private","Prof-specialty",0,1564,40
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Transport-moving",0,0,30
"<=50K","Private","Other-service",0,0,24
"<=50K","Private","Other-service",0,0,24
"<=50K","Private","Craft-repair",0,2179,40
"<=50K","Local-gov","Adm-clerical",0,0,38
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Craft-repair",0,0,35
"<=50K","Private","Craft-repair",0,0,46
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Self-emp-not-inc","Sales",0,1816,2
"<=50K","Private","Craft-repair",0,0,60
"<=50K","Private","Other-service",0,0,50
"<=50K","Private","Other-service",0,0,40
"<=50K","Self-emp-inc","Exec-managerial",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
">50K","Self-emp-not-inc","Sales",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Federal-gov","Exec-managerial",0,0,42
"<=50K","State-gov","Protective-serv",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,16
"<=50K","Local-gov","Prof-specialty",0,0,20
"<=50K","Private","Other-service",0,1980,40
"<=50K","State-gov","Protective-serv",0,0,40
">50K","Private","Sales",0,1977,40
"<=50K","Private","Craft-repair",0,0,50
">50K","State-gov","Prof-specialty",0,0,40
"<=50K","Private","Sales",0,0,25
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Other-service",0,0,12
"<=50K","Private","Prof-specialty",0,0,65
">50K","Local-gov","Exec-managerial",0,0,38
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Craft-repair",0,0,45
">50K","Private","Machine-op-inspct",0,0,40
">50K","Federal-gov","Adm-clerical",0,0,42
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,40
"<=50K","Private","Prof-specialty",0,0,50
">50K","State-gov","Prof-specialty",0,0,1
"<=50K","Private","Machine-op-inspct",0,0,28
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Local-gov","Craft-repair",0,0,40
"<=50K","Private","Tech-support",0,0,45
"<=50K","Federal-gov","Tech-support",0,0,24
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Craft-repair",0,0,40
">50K","Federal-gov","Exec-managerial",14084,0,55
">50K","Private","Prof-specialty",7298,0,40
"<=50K","Self-emp-not-inc","Sales",0,0,40
"<=50K","Private","Prof-specialty",0,1876,40
">50K","Private","Exec-managerial",0,0,50
"<=50K","Local-gov","Prof-specialty",0,1340,40
"<=50K","State-gov","Adm-clerical",0,0,35
"<=50K","Private","Sales",0,0,40
">50K","Private","Other-service",7298,0,36
"<=50K","Private","Craft-repair",0,0,60
">50K","Self-emp-inc","Sales",15024,0,35
"<=50K","Private","Sales",0,0,12
"<=50K","Local-gov","Transport-moving",0,0,40
">50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,40
"<=50K","Private","Craft-repair",0,0,40
">50K","Self-emp-inc","Machine-op-inspct",0,0,40
">50K","Private","Exec-managerial",0,0,60
"<=50K","Private","Sales",0,0,40
"<=50K","Private","Sales",0,0,50
"<=50K","Private","Prof-specialty",0,0,55
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Other-service",0,2206,40
"<=50K","Private","Adm-clerical",0,0,20
"<=50K","Local-gov","Machine-op-inspct",0,0,35
"<=50K","Private","Sales",0,0,40
"<=50K","Self-emp-not-inc","Farming-fishing",1409,0,50
"<=50K","Private","Adm-clerical",0,0,20
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Transport-moving",3674,0,40
"<=50K","Private","Sales",0,0,38
"<=50K","Private","Adm-clerical",0,0,42
"<=50K","Private","Craft-repair",0,0,40
">50K","Private","Prof-specialty",0,0,55
"<=50K","State-gov","Other-service",0,0,40
"<=50K","State-gov","Adm-clerical",0,0,38
">50K","Private","Exec-managerial",0,0,50
">50K","Local-gov","Exec-managerial",0,0,70
"<=50K","Private","Transport-moving",0,0,40
">50K","Private","Prof-specialty",0,0,40
"<=50K","Self-emp-not-inc","Other-service",0,0,20
"<=50K","State-gov","Protective-serv",0,0,50
