"age","marital-status","relationship","race","sex","native-country"
50,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Divorced","Not-in-family","White","Male","United-States"
53,"Married-civ-spouse","Husband","Black","Male","United-States"
28,"Married-civ-spouse","Wife","Black","Female","Cuba"
37,"Married-civ-spouse","Wife","White","Female","United-States"
49,"Married-spouse-absent","Not-in-family","Black","Female","Jamaica"
52,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Never-married","Not-in-family","White","Female","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","Black","Male","United-States"
30,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","India"
23,"Never-married","Own-child","White","Female","United-States"
32,"Never-married","Not-in-family","Black","Male","United-States"
34,"Married-civ-spouse","Husband","Amer-Indian-Eskimo","Male","Mexico"
25,"Never-married","Own-child","White","Male","United-States"
32,"Never-married","Unmarried","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Divorced","Unmarried","White","Female","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Separated","Unmarried","Black","Female","United-States"
35,"Married-civ-spouse","Husband","Black","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
59,"Divorced","Unmarried","White","Female","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","White","Male","United-States"
39,"Divorced","Not-in-family","White","Male","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
20,"Never-married","Own-child","Black","Male","United-States"
45,"Divorced","Own-child","White","Male","United-States"
30,"Married-civ-spouse","Own-child","White","Male","United-States"
22,"Married-civ-spouse","Husband","Black","Male","United-States"
48,"Never-married","Unmarried","White","Male","Puerto-Rico"
21,"Never-married","Own-child","White","Male","United-States"
19,"Married-AF-spouse","Wife","White","Female","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Separated","Unmarried","White","Female","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
57,"Married-civ-spouse","Husband","Black","Male","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Divorced","Unmarried","White","Female","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
25,"Married-civ-spouse","Wife","Other","Female","United-States"
47,"Married-civ-spouse","Wife","White","Female","Honduras"
50,"Divorced","Not-in-family","White","Male","United-States"
47,"Divorced","Not-in-family","White","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Married-civ-spouse","Husband","White","Male","Mexico"
35,"Married-civ-spouse","Husband","White","Male","Puerto-Rico"
41,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Divorced","Not-in-family","White","Male","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Divorced","Not-in-family","White","Female","United-States"
53,"Married-civ-spouse","Wife","White","Female","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","White","Male","United-States"
31,"Separated","Own-child","Black","Female","United-States"
29,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
79,"Married-civ-spouse","Other-relative","White","Male","United-States"
27,"Never-married","Own-child","White","Male","Mexico"
40,"Married-civ-spouse","Husband","White","Male","United-States"
18,"Never-married","Own-child","White","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
18,"Never-married","Not-in-family","White","Male","United-States"
52,"Married-civ-spouse","Husband","White","Male","Cuba"
46,"Married-civ-spouse","Wife","White","Female","United-States"
59,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Divorced","Not-in-family","White","Female","United-States"
53,"Divorced","Own-child","White","Female","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Never-married","Not-in-family","White","Male","United-States"
43,"Never-married","Not-in-family","White","Female","United-States"
57,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Divorced","Unmarried","White","Female","United-States"
28,"Divorced","Unmarried","Black","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
48,"Divorced","Unmarried","White","Female","England"
32,"Never-married","Own-child","Black","Male","United-States"
76,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Never-married","Not-in-family","White","Female","United-States"
20,"Never-married","Own-child","White","Female","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Never-married","Own-child","White","Male","United-States"
31,"Never-married","Not-in-family","White","Female","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Other-relative","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
56,"Married-civ-spouse","Husband","White","Male","Canada"
28,"Married-civ-spouse","Wife","White","Female","United-States"
36,"Never-married","Own-child","White","Female","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Married-civ-spouse","Husband","Black","Male","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Never-married","Not-in-family","White","Male","United-States"
21,"Never-married","Own-child","White","Female","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Never-married","Own-child","Black","Male","Germany"
29,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","Black","Male","United-States"
47,"Married-civ-spouse","Wife","White","Female","United-States"
20,"Never-married","Own-child","White","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
39,"Divorced","Not-in-family","White","Male","United-States"
28,"Never-married","Not-in-family","White","Female","United-States"
24,"Never-married","Not-in-family","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
